,FI,LV,RU,sum
2023-01-07 02:00:00+00:00,0.0,258.0,213.0,471.0
2023-01-07 03:00:00+00:00,0.0,281.0,211.0,492.0
2023-01-07 04:00:00+00:00,0.0,279.0,225.0,504.0
2023-01-07 05:00:00+00:00,0.0,285.0,213.0,498.0
2023-01-07 06:00:00+00:00,0.0,283.0,178.0,461.0
2023-01-07 07:00:00+00:00,0.0,283.0,163.0,446.0
2023-01-07 08:00:00+00:00,0.0,256.0,166.0,422.0
2023-01-07 09:00:00+00:00,0.0,207.0,213.0,420.0
2023-01-07 10:00:00+00:00,0.0,209.0,213.0,422.0
2023-01-07 11:00:00+00:00,0.0,229.0,178.0,407.0
2023-01-07 12:00:00+00:00,0.0,211.0,184.0,395.0
2023-01-07 13:00:00+00:00,0.0,196.0,208.0,404.0
2023-01-07 14:00:00+00:00,0.0,178.0,170.0,348.0
2023-01-07 15:00:00+00:00,0.0,175.0,156.0,331.0
2023-01-07 16:00:00+00:00,0.0,183.0,174.0,357.0
2023-01-07 17:00:00+00:00,0.0,194.0,185.0,379.0
2023-01-07 18:00:00+00:00,0.0,229.0,193.0,422.0
2023-01-07 19:00:00+00:00,0.0,253.0,203.0,456.0
2023-01-07 20:00:00+00:00,0.0,254.0,219.0,473.0
2023-01-07 21:00:00+00:00,0.0,253.0,234.0,487.0
2023-01-07 22:00:00+00:00,0.0,280.0,257.0,537.0
2023-01-07 23:00:00+00:00,0.0,289.0,275.0,564.0
2023-01-08 00:00:00+00:00,0.0,304.0,268.0,572.0
2023-01-08 01:00:00+00:00,0.0,314.0,271.0,585.0
2023-01-08 02:00:00+00:00,0.0,302.0,276.0,578.0
2023-01-08 03:00:00+00:00,0.0,298.0,287.0,585.0
2023-01-08 04:00:00+00:00,0.0,274.0,273.0,547.0
2023-01-08 05:00:00+00:00,0.0,300.0,212.0,512.0
2023-01-08 06:00:00+00:00,0.0,299.0,201.0,500.0
2023-01-08 07:00:00+00:00,0.0,261.0,157.0,418.0
2023-01-08 08:00:00+00:00,0.0,249.0,182.0,431.0
2023-01-08 09:00:00+00:00,0.0,244.0,207.0,451.0
2023-01-08 10:00:00+00:00,0.0,184.0,201.0,385.0
2023-01-08 11:00:00+00:00,0.0,169.0,199.0,368.0
2023-01-08 12:00:00+00:00,0.0,155.0,186.0,341.0
2023-01-08 13:00:00+00:00,0.0,143.0,183.0,326.0
2023-01-08 14:00:00+00:00,0.0,108.0,188.0,296.0
2023-01-08 15:00:00+00:00,0.0,110.0,199.0,309.0
2023-01-08 16:00:00+00:00,0.0,134.0,195.0,329.0
2023-01-08 17:00:00+00:00,0.0,160.0,213.0,373.0
2023-01-08 18:00:00+00:00,0.0,165.0,196.0,361.0
2023-01-08 19:00:00+00:00,0.0,206.0,226.0,432.0
2023-01-08 20:00:00+00:00,0.0,224.0,235.0,459.0
2023-01-08 21:00:00+00:00,0.0,226.0,241.0,467.0
2023-01-08 22:00:00+00:00,0.0,200.0,231.0,431.0
2023-01-08 23:00:00+00:00,0.0,343.0,284.0,627.0
2023-01-09 00:00:00+00:00,0.0,348.0,288.0,636.0
2023-01-09 01:00:00+00:00,0.0,369.0,286.0,655.0
2023-01-09 02:00:00+00:00,0.0,402.0,266.0,668.0
2023-01-09 03:00:00+00:00,0.0,375.0,241.0,616.0
2023-01-09 04:00:00+00:00,0.0,397.0,219.0,616.0
2023-01-09 05:00:00+00:00,0.0,385.0,217.0,602.0
2023-01-09 06:00:00+00:00,0.0,316.0,248.0,564.0
2023-01-09 07:00:00+00:00,0.0,304.0,252.0,556.0
2023-01-09 08:00:00+00:00,0.0,302.0,263.0,565.0
2023-01-09 09:00:00+00:00,0.0,321.0,255.0,576.0
2023-01-09 10:00:00+00:00,0.0,305.0,250.0,555.0
2023-01-09 11:00:00+00:00,0.0,286.0,235.0,521.0
2023-01-09 12:00:00+00:00,0.0,298.0,250.0,548.0
2023-01-09 13:00:00+00:00,0.0,301.0,257.0,558.0
2023-01-09 14:00:00+00:00,0.0,302.0,255.0,557.0
2023-01-09 15:00:00+00:00,0.0,314.0,258.0,572.0
2023-01-09 16:00:00+00:00,0.0,379.0,276.0,655.0
2023-01-09 17:00:00+00:00,0.0,386.0,257.0,643.0
2023-01-09 18:00:00+00:00,0.0,415.0,223.0,638.0
2023-01-09 19:00:00+00:00,0.0,386.0,280.0,666.0
