,AT,HR,IT,HU,sum
2023-01-04 01:15:00+00:00,1.0,,,0.0,1.0
2023-01-04 01:30:00+00:00,1.0,,,0.0,1.0
2023-01-04 01:45:00+00:00,0.0,,,0.0,0.0
2023-01-04 02:00:00+00:00,0.0,0.0,655.0,0.0,655.0
2023-01-04 02:15:00+00:00,0.0,,,0.0,0.0
2023-01-04 02:30:00+00:00,0.0,,,0.0,0.0
2023-01-04 02:45:00+00:00,0.0,,,0.0,0.0
2023-01-04 03:00:00+00:00,0.0,0.0,586.0,0.0,586.0
2023-01-04 03:15:00+00:00,0.0,,,0.0,0.0
2023-01-04 03:30:00+00:00,0.0,,,0.0,0.0
2023-01-04 03:45:00+00:00,0.0,,,0.0,0.0
2023-01-04 04:00:00+00:00,0.0,29.0,698.0,0.0,727.0
2023-01-04 04:15:00+00:00,0.0,,,0.0,0.0
2023-01-04 04:30:00+00:00,0.0,,,0.0,0.0
2023-01-04 04:45:00+00:00,0.0,,,0.0,0.0
2023-01-04 05:00:00+00:00,0.0,0.0,948.0,0.0,948.0
2023-01-04 05:15:00+00:00,0.0,,,0.0,0.0
2023-01-04 05:30:00+00:00,0.0,,,0.0,0.0
2023-01-04 05:45:00+00:00,0.0,,,0.0,0.0
2023-01-04 06:00:00+00:00,0.0,0.0,1014.0,0.0,1014.0
2023-01-04 06:15:00+00:00,0.0,,,0.0,0.0
2023-01-04 06:30:00+00:00,0.0,,,0.0,0.0
2023-01-04 06:45:00+00:00,0.0,,,0.0,0.0
2023-01-04 07:00:00+00:00,0.0,0.0,945.0,0.0,945.0
2023-01-04 07:15:00+00:00,0.0,,,0.0,0.0
2023-01-04 07:30:00+00:00,0.0,,,0.0,0.0
2023-01-04 07:45:00+00:00,0.0,,,0.0,0.0
2023-01-04 08:00:00+00:00,0.0,0.0,983.0,0.0,983.0
2023-01-04 08:15:00+00:00,0.0,,,0.0,0.0
2023-01-04 08:30:00+00:00,0.0,,,0.0,0.0
2023-01-04 08:45:00+00:00,0.0,,,0.0,0.0
2023-01-04 09:00:00+00:00,0.0,0.0,956.0,0.0,956.0
2023-01-04 09:15:00+00:00,0.0,,,0.0,0.0
2023-01-04 09:30:00+00:00,0.0,,,0.0,0.0
2023-01-04 09:45:00+00:00,0.0,,,0.0,0.0
2023-01-04 10:00:00+00:00,0.0,0.0,695.0,0.0,695.0
2023-01-04 10:15:00+00:00,0.0,,,0.0,0.0
2023-01-04 10:30:00+00:00,0.0,,,0.0,0.0
2023-01-04 10:45:00+00:00,0.0,,,0.0,0.0
2023-01-04 11:00:00+00:00,0.0,0.0,607.0,0.0,607.0
2023-01-04 11:15:00+00:00,0.0,,,0.0,0.0
2023-01-04 11:30:00+00:00,0.0,,,0.0,0.0
2023-01-04 11:45:00+00:00,0.0,,,0.0,0.0
2023-01-04 12:00:00+00:00,0.0,0.0,335.0,0.0,335.0
2023-01-04 12:15:00+00:00,0.0,,,0.0,0.0
2023-01-04 12:30:00+00:00,0.0,,,0.0,0.0
2023-01-04 12:45:00+00:00,0.0,,,0.0,0.0
2023-01-04 13:00:00+00:00,0.0,90.0,213.0,0.0,303.0
2023-01-04 13:15:00+00:00,0.0,,,0.0,0.0
2023-01-04 13:30:00+00:00,0.0,,,0.0,0.0
2023-01-04 13:45:00+00:00,0.0,,,0.0,0.0
2023-01-04 14:00:00+00:00,0.0,115.0,216.0,0.0,331.0
2023-01-04 14:15:00+00:00,0.0,,,0.0,0.0
2023-01-04 14:30:00+00:00,0.0,,,0.0,0.0
2023-01-04 14:45:00+00:00,0.0,,,0.0,0.0
2023-01-04 15:00:00+00:00,0.0,33.0,387.0,0.0,420.0
2023-01-04 15:15:00+00:00,0.0,,,0.0,0.0
2023-01-04 15:30:00+00:00,0.0,,,0.0,0.0
