,avail_qty,businesstype,docstatus,end,nominal_power,plant_type,production_resource_id,resolution,start
136,0.0,Unplanned outage,,2022-01-05 09:00:00+00:00,428.0,Fossil Gas,17W100P100P0351G,PT1M,2022-01-05 09:00:00+00:00
137,0.0,Planned maintenance,,2022-01-05 13:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02764,PT30M,2022-01-05 13:00:00+00:00
138,0.0,Planned maintenance,,2022-01-05 17:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02764,PT60M,2022-01-05 13:00:00+00:00
139,0.0,Planned maintenance,,2022-01-05 17:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02764,PT60M,2022-01-05 13:00:00+00:00
140,0.0,Planned maintenance,,2022-01-05 13:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02764,PT30M,2022-01-05 13:00:00+00:00
141,0.0,Planned maintenance,,2022-01-05 13:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02764,PT30M,2022-01-05 13:00:00+00:00
142,0.0,Planned maintenance,,2022-01-05 17:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02764,PT60M,2022-01-05 13:00:00+00:00
144,630.0,Unplanned outage,,2022-01-05 12:00:00+00:00,890.0,Nuclear,17W100P100P0205R,PT15M,2022-01-05 11:00:00+00:00
145,630.0,Unplanned outage,,2022-01-05 12:00:00+00:00,890.0,Nuclear,17W100P100P0205R,PT1M,2022-01-05 12:00:00+00:00
146,630.0,Unplanned outage,,2022-01-05 11:00:00+00:00,890.0,Nuclear,17W100P100P0205R,PT30M,2022-01-05 11:00:00+00:00
147,630.0,Unplanned outage,,2022-01-05 11:00:00+00:00,890.0,Nuclear,17W100P100P0205R,PT60M,2022-01-05 04:00:00+00:00
148,630.0,Unplanned outage,,2022-01-05 04:00:00+00:00,890.0,Nuclear,17W100P100P0205R,PT1M,2022-01-05 04:00:00+00:00
149,0.0,Unplanned outage,,2022-01-05 15:00:00+00:00,465.0,Fossil Gas,17W100P100P0246D,PT30M,2022-01-05 13:00:00+00:00
150,0.0,Planned maintenance,,2022-01-05 15:00:00+00:00,1300.0,Nuclear,17W100P100P01881,PT60M,2021-09-17 22:00:00+00:00
151,0.0,Unplanned outage,,2022-01-05 17:00:00+00:00,428.0,Fossil Gas,17W100P100P0351G,PT1M,2022-01-05 17:00:00+00:00
152,0.0,Unplanned outage,,2022-01-05 17:00:00+00:00,428.0,Fossil Gas,17W100P100P0351G,PT60M,2022-01-05 12:00:00+00:00
153,0.0,Unplanned outage,,2022-01-05 11:00:00+00:00,428.0,Fossil Gas,17W100P100P0351G,PT1M,2022-01-05 11:00:00+00:00
154,0.0,Unplanned outage,,2022-01-05 12:00:00+00:00,428.0,Fossil Gas,17W100P100P0351G,PT30M,2022-01-05 11:00:00+00:00
155,0.0,Unplanned outage,,2022-01-04 03:00:00+00:00,580.0,Fossil Hard coal,17W100P100P0237E,PT1M,2022-01-04 03:00:00+00:00
156,0.0,Unplanned outage,,2022-01-06 00:00:00+00:00,580.0,Fossil Hard coal,17W100P100P0237E,PT60M,2022-01-04 03:00:00+00:00
157,0.0,Unplanned outage,,2022-01-05 18:00:00+00:00,134.0,Fossil Oil,17W100P100P0261H,PT15M,2022-01-05 18:00:00+00:00
158,0.0,Unplanned outage,,2022-01-05 18:00:00+00:00,134.0,Fossil Oil,17W100P100P0261H,PT1M,2022-01-05 18:00:00+00:00
159,0.0,Unplanned outage,,2022-01-05 17:00:00+00:00,259.0,Hydro Pumped Storage,17W100P100P0273A,PT1M,2022-01-05 17:00:00+00:00
160,0.0,Unplanned outage,,2022-01-05 17:00:00+00:00,259.0,Hydro Pumped Storage,17W100P100P0273A,PT15M,2022-01-05 17:00:00+00:00
161,0.0,Unplanned outage,,2022-01-05 18:00:00+00:00,259.0,Hydro Pumped Storage,17W100P100P0273A,PT60M,2022-01-05 17:00:00+00:00
162,0.0,Unplanned outage,,2022-01-05 19:00:00+00:00,259.0,Hydro Pumped Storage,17W100P100P0273A,PT30M,2022-01-05 18:00:00+00:00
163,0.0,Unplanned outage,,2022-01-06 02:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02756,PT60M,2022-01-06 01:00:00+00:00
164,0.0,Unplanned outage,,2022-01-06 03:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02756,PT30M,2022-01-06 02:00:00+00:00
165,0.0,Unplanned outage,,2022-01-06 01:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02756,PT30M,2022-01-06 01:00:00+00:00
166,0.0,Unplanned outage,,2022-01-06 01:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02756,PT1M,2022-01-06 00:00:00+00:00
167,660.0,Unplanned outage,,2022-01-06 03:00:00+00:00,1300.0,Nuclear,17W100B100P0189S,PT60M,2022-01-04 02:00:00+00:00
168,660.0,Unplanned outage,,2022-01-06 03:00:00+00:00,1300.0,Nuclear,17W100B100P0189S,PT15M,2022-01-06 03:00:00+00:00
169,660.0,Unplanned outage,,2022-01-04 02:00:00+00:00,1300.0,Nuclear,17W100B100P0189S,PT15M,2022-01-04 02:00:00+00:00
170,0.0,Planned maintenance,,2022-01-06 08:00:00+00:00,231.0,Fossil Gas,17W100P100P0350I,PT60M,2022-01-04 22:00:00+00:00
171,0.0,Planned maintenance,,2022-01-06 08:00:00+00:00,231.0,Fossil Gas,17W100P100P0350I,PT15M,2022-01-06 08:00:00+00:00
172,0.0,Planned maintenance,,2022-01-06 08:00:00+00:00,231.0,Fossil Gas,17W100P100P0350I,PT1M,2022-01-06 08:00:00+00:00
173,0.0,Planned maintenance,,2022-01-04 22:00:00+00:00,231.0,Fossil Gas,17W100P100P0350I,PT30M,2022-01-04 21:00:00+00:00
174,0.0,Planned maintenance,,2022-01-07 11:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02756,PT60M,2022-01-07 08:00:00+00:00
175,250.0,Unplanned outage,,2022-01-06 09:00:00+00:00,915.0,Nuclear,17W100P100P02000,PT60M,2022-01-06 05:00:00+00:00
176,250.0,Unplanned outage,,2022-01-06 05:00:00+00:00,915.0,Nuclear,17W100P100P02000,PT15M,2022-01-06 05:00:00+00:00
177,250.0,Unplanned outage,,2022-01-06 05:00:00+00:00,915.0,Nuclear,17W100P100P02000,PT1M,2022-01-06 05:00:00+00:00
178,0.0,Planned maintenance,,2022-01-07 11:00:00+00:00,157.0,Hydro Pumped Storage,17W100P100P02756,PT60M,2022-01-07 08:00:00+00:00
179,0.0,Planned maintenance,,2022-01-06 11:00:00+00:00,134.0,Fossil Oil,17W100P100P0261H,PT30M,2022-01-06 11:00:00+00:00
180,0.0,Planned maintenance,,2022-01-06 11:00:00+00:00,134.0,Fossil Oil,17W100P100P0261H,PT60M,2022-01-06 10:00:00+00:00
181,0.0,Planned maintenance,,2022-01-07 15:00:00+00:00,45.8,Hydro Run-of-river and poundage,17W100P100P0323L,PT30M,2021-08-23 05:00:00+00:00
182,0.0,Planned maintenance,,2022-01-06 13:00:00+00:00,202.0,Hydro Pumped Storage,17W100P100P02780,PT30M,2022-01-06 13:00:00+00:00
183,0.0,Planned maintenance,,2022-01-06 17:00:00+00:00,202.0,Hydro Pumped Storage,17W100P100P02780,PT60M,2022-01-06 13:00:00+00:00
184,0.0,Unplanned outage,,2022-01-06 21:00:00+00:00,202.0,Hydro Pumped Storage,17W100P100P02780,PT1M,2022-01-06 21:00:00+00:00
185,0.0,Unplanned outage,,2022-01-06 22:00:00+00:00,202.0,Hydro Pumped Storage,17W100P100P02780,PT15M,2022-01-06 21:00:00+00:00
186,0.0,Planned maintenance,,2022-01-13 16:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02756,PT60M,2022-01-13 09:00:00+00:00
187,0.0,Planned maintenance,,2022-01-11 13:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02756,PT30M,2022-01-11 13:00:00+00:00
188,0.0,Planned maintenance,,2022-01-11 16:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02756,PT60M,2022-01-11 13:00:00+00:00
189,0.0,Unplanned outage,,2022-01-07 14:00:00+00:00,259.0,Hydro Pumped Storage,17W100P100P0273A,PT15M,2022-01-07 14:00:00+00:00
190,0.0,Unplanned outage,,2022-01-07 16:00:00+00:00,259.0,Hydro Pumped Storage,17W100P100P0273A,PT60M,2022-01-07 14:00:00+00:00
