,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Peat,Hydro Run-of-river and poundage,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
2024-01-01 20:00:00+02:00,823.0,179.0,192.0,0.0,620.0,1920.0,4360.0,267.0,2.0,0.0,16.0,2661.0
2024-01-01 20:15:00+02:00,836.0,177.0,192.0,0.0,616.0,1989.0,4360.0,267.0,2.0,0.0,16.0,2647.0
2024-01-01 20:30:00+02:00,840.0,170.0,192.0,0.0,612.0,1882.0,4362.0,267.0,2.0,0.0,14.0,2653.0
2024-01-01 20:45:00+02:00,835.0,189.0,192.0,0.0,612.0,1770.0,4362.0,267.0,2.0,0.0,9.0,2679.0
2024-01-01 21:00:00+02:00,823.0,200.0,192.0,0.0,608.0,1661.0,4360.0,268.0,2.0,0.0,7.0,2646.0
2024-01-01 21:15:00+02:00,820.0,209.0,193.0,0.0,604.0,1637.0,4361.0,271.0,2.0,0.0,7.0,2571.0
2024-01-01 21:30:00+02:00,829.0,207.0,199.0,0.0,602.0,1621.0,4361.0,268.0,2.0,0.0,7.0,2538.0
2024-01-01 21:45:00+02:00,826.0,199.0,201.0,0.0,601.0,1590.0,4362.0,268.0,2.0,0.0,7.0,2545.0
2024-01-01 22:00:00+02:00,819.0,194.0,201.0,0.0,601.0,1626.0,4361.0,268.0,2.0,0.0,7.0,2556.0
2024-01-01 22:15:00+02:00,832.0,197.0,203.0,0.0,601.0,1690.0,4360.0,268.0,2.0,0.0,7.0,2543.0
2024-01-01 22:30:00+02:00,821.0,202.0,203.0,0.0,600.0,1693.0,4361.0,268.0,2.0,0.0,7.0,2535.0
2024-01-01 22:45:00+02:00,825.0,204.0,204.0,0.0,599.0,1650.0,4360.0,268.0,2.0,0.0,7.0,2519.0
2024-01-01 23:00:00+02:00,823.0,210.0,209.0,0.0,592.0,1557.0,4362.0,268.0,2.0,0.0,7.0,2501.0
2024-01-01 23:15:00+02:00,825.0,213.0,212.0,0.0,594.0,1504.0,4362.0,268.0,2.0,0.0,7.0,2495.0
2024-01-01 23:30:00+02:00,821.0,216.0,215.0,0.0,592.0,1480.0,4361.0,268.0,2.0,0.0,7.0,2499.0
2024-01-01 23:45:00+02:00,832.0,210.0,219.0,0.0,586.0,1426.0,4361.0,271.0,2.0,0.0,7.0,2472.0
2024-01-02 00:00:00+02:00,802.0,192.0,224.0,0.0,567.0,1356.0,4360.0,271.0,2.0,0.0,7.0,2444.0
2024-01-02 00:15:00+02:00,838.0,199.0,226.0,0.0,559.0,1267.0,4361.0,271.0,2.0,0.0,7.0,2409.0
2024-01-02 00:30:00+02:00,839.0,213.0,225.0,0.0,556.0,1227.0,4361.0,271.0,2.0,0.0,7.0,2377.0
2024-01-02 00:45:00+02:00,830.0,215.0,225.0,0.0,557.0,1208.0,4361.0,271.0,2.0,0.0,7.0,2343.0
2024-01-02 01:00:00+02:00,812.0,221.0,241.0,0.0,573.0,1244.0,4361.0,271.0,2.0,0.0,7.0,2299.0
2024-01-02 01:15:00+02:00,845.0,226.0,246.0,0.0,576.0,1219.0,4361.0,271.0,2.0,0.0,7.0,2260.0
2024-01-02 01:30:00+02:00,855.0,228.0,250.0,0.0,576.0,1258.0,4361.0,271.0,2.0,0.0,7.0,2178.0
2024-01-02 01:45:00+02:00,845.0,231.0,249.0,0.0,575.0,1212.0,4360.0,271.0,2.0,0.0,7.0,2093.0
2024-01-02 02:00:00+02:00,845.0,231.0,249.0,0.0,575.0,1229.0,4361.0,271.0,2.0,0.0,7.0,2005.0
2024-01-02 02:15:00+02:00,834.0,227.0,249.0,0.0,573.0,1193.0,4361.0,271.0,2.0,0.0,7.0,1934.0
2024-01-02 02:30:00+02:00,836.0,223.0,250.0,0.0,573.0,1189.0,4361.0,271.0,2.0,0.0,7.0,1859.0
2024-01-02 02:45:00+02:00,848.0,223.0,255.0,0.0,573.0,1181.0,4360.0,271.0,2.0,0.0,7.0,1798.0
2024-01-02 03:00:00+02:00,846.0,217.0,258.0,0.0,577.0,1143.0,4359.0,271.0,2.0,0.0,7.0,1763.0
2024-01-02 03:15:00+02:00,844.0,216.0,259.0,0.0,579.0,1138.0,4361.0,271.0,2.0,0.0,7.0,1721.0
2024-01-02 03:30:00+02:00,841.0,215.0,265.0,0.0,578.0,1139.0,4360.0,271.0,2.0,0.0,7.0,1663.0
2024-01-02 03:45:00+02:00,837.0,211.0,266.0,0.0,578.0,1142.0,4360.0,271.0,2.0,0.0,9.0,1619.0
2024-01-02 04:00:00+02:00,810.0,197.0,273.0,0.0,579.0,1220.0,4360.0,271.0,2.0,0.0,13.0,1588.0
2024-01-02 04:15:00+02:00,819.0,192.0,292.0,0.0,590.0,1290.0,4361.0,271.0,2.0,0.0,13.0,1549.0
2024-01-02 04:30:00+02:00,822.0,239.0,304.0,0.0,596.0,1322.0,4361.0,272.0,2.0,0.0,14.0,1527.0
2024-01-02 04:45:00+02:00,824.0,244.0,304.0,0.0,609.0,1411.0,4360.0,272.0,2.0,0.0,15.0,1524.0
2024-01-02 05:00:00+02:00,827.0,246.0,325.0,0.0,644.0,1476.0,4361.0,272.0,2.0,0.0,19.0,1534.0
2024-01-02 05:15:00+02:00,830.0,252.0,343.0,0.0,649.0,1504.0,4360.0,272.0,2.0,0.0,19.0,1529.0
2024-01-02 05:30:00+02:00,830.0,254.0,360.0,0.0,661.0,1552.0,4361.0,272.0,2.0,0.0,19.0,1523.0
2024-01-02 05:45:00+02:00,837.0,259.0,383.0,0.0,689.0,1588.0,4361.0,272.0,2.0,0.0,19.0,1526.0
2024-01-02 06:00:00+02:00,849.0,269.0,389.0,0.0,698.0,1699.0,4361.0,272.0,2.0,0.0,19.0,1530.0
2024-01-02 06:15:00+02:00,856.0,281.0,389.0,0.0,715.0,1781.0,4361.0,272.0,2.0,0.0,19.0,1521.0
2024-01-02 06:30:00+02:00,847.0,280.0,392.0,0.0,704.0,1844.0,4357.0,272.0,2.0,0.0,19.0,1478.0
2024-01-02 06:45:00+02:00,859.0,285.0,417.0,0.0,723.0,1810.0,4356.0,272.0,2.0,0.0,19.0,1466.0
2024-01-02 07:00:00+02:00,837.0,283.0,446.0,0.0,734.0,1811.0,4351.0,272.0,2.0,0.0,19.0,1468.0
2024-01-02 07:15:00+02:00,863.0,286.0,465.0,0.0,754.0,1871.0,4353.0,272.0,2.0,0.0,19.0,1484.0
2024-01-02 07:30:00+02:00,875.0,297.0,480.0,0.0,759.0,1901.0,4351.0,272.0,2.0,0.0,19.0,1506.0
2024-01-02 07:45:00+02:00,870.0,326.0,494.0,0.0,756.0,1853.0,4351.0,272.0,2.0,0.0,20.0,1525.0
2024-01-02 08:00:00+02:00,879.0,402.0,507.0,0.0,759.0,1857.0,4351.0,272.0,2.0,0.0,25.0,1552.0
2024-01-02 08:15:00+02:00,868.0,428.0,512.0,0.0,762.0,1951.0,4351.0,272.0,2.0,0.0,31.0,1586.0
2024-01-02 08:30:00+02:00,882.0,442.0,514.0,0.0,776.0,1925.0,4351.0,272.0,2.0,0.0,34.0,1627.0
2024-01-02 08:45:00+02:00,876.0,463.0,516.0,0.0,798.0,1916.0,4351.0,272.0,2.0,0.0,34.0,1664.0
2024-01-02 09:00:00+02:00,854.0,475.0,518.0,4.0,811.0,1924.0,4354.0,272.0,2.0,1.0,34.0,1698.0
2024-01-02 09:15:00+02:00,872.0,456.0,519.0,40.0,815.0,1931.0,4356.0,272.0,2.0,2.0,34.0,1701.0
2024-01-02 09:30:00+02:00,864.0,487.0,521.0,40.0,813.0,1922.0,4356.0,273.0,2.0,3.0,34.0,1702.0
2024-01-02 09:45:00+02:00,865.0,534.0,522.0,6.0,810.0,1916.0,4350.0,275.0,2.0,4.0,34.0,1700.0
2024-01-02 10:00:00+02:00,868.0,539.0,530.0,1.0,809.0,1955.0,4347.0,275.0,2.0,7.0,34.0,1660.0
2024-01-02 10:15:00+02:00,868.0,538.0,538.0,0.0,807.0,1974.0,4347.0,273.0,2.0,13.0,34.0,1596.0
2024-01-02 10:30:00+02:00,863.0,532.0,546.0,0.0,807.0,2002.0,4345.0,272.0,2.0,19.0,34.0,1533.0
2024-01-02 10:45:00+02:00,865.0,530.0,554.0,0.0,799.0,1975.0,4343.0,272.0,2.0,24.0,34.0,1491.0
2024-01-02 11:00:00+02:00,881.0,577.0,559.0,0.0,814.0,2076.0,4343.0,269.0,2.0,29.0,34.0,1420.0
2024-01-02 11:15:00+02:00,885.0,623.0,549.0,0.0,809.0,2001.0,4343.0,262.0,2.0,34.0,32.0,1400.0
2024-01-02 11:30:00+02:00,877.0,630.0,533.0,0.0,810.0,1989.0,4342.0,265.0,2.0,39.0,34.0,1385.0
2024-01-02 11:45:00+02:00,881.0,653.0,533.0,0.0,808.0,1975.0,4343.0,266.0,2.0,43.0,34.0,1382.0
2024-01-02 12:00:00+02:00,882.0,659.0,534.0,0.0,801.0,1936.0,4351.0,266.0,2.0,44.0,33.0,1351.0
2024-01-02 12:15:00+02:00,862.0,657.0,533.0,0.0,799.0,1940.0,4351.0,264.0,2.0,42.0,27.0,1321.0
2024-01-02 12:30:00+02:00,868.0,636.0,533.0,0.0,802.0,1934.0,4352.0,265.0,2.0,39.0,27.0,1317.0
2024-01-02 12:45:00+02:00,869.0,642.0,533.0,0.0,802.0,1960.0,4352.0,262.0,2.0,37.0,24.0,1341.0
2024-01-02 13:00:00+02:00,877.0,680.0,533.0,0.0,804.0,2030.0,4351.0,253.0,2.0,32.0,18.0,1371.0
2024-01-02 13:15:00+02:00,876.0,696.0,534.0,0.0,802.0,2033.0,4351.0,252.0,2.0,25.0,16.0,1373.0
2024-01-02 13:30:00+02:00,869.0,690.0,533.0,0.0,801.0,1962.0,4352.0,255.0,2.0,18.0,16.0,1379.0
2024-01-02 13:45:00+02:00,865.0,710.0,533.0,0.0,800.0,1934.0,4352.0,261.0,2.0,10.0,16.0,1433.0
2024-01-02 14:00:00+02:00,872.0,715.0,534.0,0.0,797.0,1940.0,4353.0,264.0,2.0,6.0,16.0,1479.0
2024-01-02 14:15:00+02:00,870.0,715.0,534.0,0.0,796.0,1983.0,4355.0,264.0,2.0,4.0,16.0,1458.0
2024-01-02 14:30:00+02:00,876.0,721.0,534.0,0.0,797.0,1996.0,4364.0,264.0,2.0,3.0,16.0,1458.0
2024-01-02 14:45:00+02:00,877.0,723.0,533.0,0.0,797.0,1988.0,4365.0,265.0,2.0,1.0,16.0,1473.0
2024-01-02 15:00:00+02:00,882.0,722.0,534.0,0.0,802.0,2010.0,4365.0,264.0,2.0,0.0,18.0,1478.0
2024-01-02 15:15:00+02:00,890.0,717.0,537.0,0.0,802.0,2054.0,4365.0,264.0,2.0,0.0,24.0,1453.0
2024-01-02 15:30:00+02:00,876.0,717.0,543.0,0.0,805.0,2074.0,4366.0,264.0,2.0,0.0,25.0,1437.0
2024-01-02 15:45:00+02:00,871.0,712.0,549.0,0.0,804.0,2103.0,4365.0,264.0,2.0,0.0,25.0,1415.0
2024-01-02 16:00:00+02:00,862.0,715.0,556.0,0.0,807.0,2092.0,4365.0,267.0,2.0,0.0,30.0,1491.0
2024-01-02 16:15:00+02:00,854.0,724.0,566.0,0.0,819.0,2072.0,4363.0,267.0,2.0,0.0,31.0,1558.0
2024-01-02 16:30:00+02:00,866.0,714.0,570.0,0.0,823.0,2060.0,4363.0,267.0,2.0,0.0,31.0,1534.0
2024-01-02 16:45:00+02:00,855.0,707.0,574.0,0.0,833.0,2064.0,4363.0,267.0,2.0,0.0,31.0,1534.0
2024-01-02 17:00:00+02:00,869.0,705.0,579.0,0.0,835.0,2048.0,4362.0,267.0,2.0,0.0,31.0,1523.0
2024-01-02 17:15:00+02:00,863.0,706.0,584.0,0.0,838.0,2018.0,4362.0,270.0,2.0,0.0,33.0,1500.0
2024-01-02 17:30:00+02:00,860.0,720.0,589.0,0.0,839.0,2005.0,4361.0,270.0,2.0,0.0,32.0,1504.0
2024-01-02 17:45:00+02:00,871.0,725.0,593.0,0.0,838.0,1988.0,4363.0,270.0,2.0,0.0,32.0,1537.0
2024-01-02 18:00:00+02:00,862.0,716.0,592.0,0.0,836.0,1958.0,4363.0,270.0,2.0,0.0,33.0,1570.0
2024-01-02 18:15:00+02:00,868.0,713.0,593.0,0.0,835.0,1936.0,4362.0,270.0,2.0,0.0,33.0,1585.0
2024-01-02 18:30:00+02:00,875.0,718.0,589.0,0.0,823.0,1956.0,4364.0,270.0,2.0,0.0,32.0,1492.0
2024-01-02 18:45:00+02:00,873.0,730.0,596.0,0.0,804.0,1982.0,4365.0,270.0,2.0,0.0,29.0,1450.0
2024-01-02 19:00:00+02:00,854.0,740.0,596.0,0.0,797.0,1908.0,4362.0,271.0,2.0,0.0,23.0,1461.0
2024-01-02 19:15:00+02:00,861.0,739.0,595.0,0.0,796.0,1806.0,4363.0,273.0,2.0,0.0,24.0,1480.0
2024-01-02 19:30:00+02:00,865.0,738.0,595.0,0.0,805.0,1810.0,4362.0,273.0,2.0,0.0,32.0,1559.0
2024-01-02 19:45:00+02:00,856.0,754.0,595.0,0.0,830.0,1895.0,4363.0,273.0,2.0,0.0,32.0,1602.0
2024-01-02 20:00:00+02:00,861.0,750.0,588.0,0.0,840.0,1840.0,4363.0,273.0,2.0,0.0,22.0,1656.0
2024-01-02 20:15:00+02:00,856.0,745.0,568.0,0.0,841.0,1838.0,4363.0,273.0,2.0,0.0,18.0,1701.0
2024-01-02 20:30:00+02:00,858.0,753.0,544.0,0.0,836.0,1847.0,4364.0,273.0,2.0,0.0,11.0,1788.0
2024-01-02 20:45:00+02:00,804.0,729.0,536.0,0.0,821.0,1826.0,4364.0,273.0,2.0,0.0,7.0,1817.0
2024-01-02 21:00:00+02:00,824.0,654.0,526.0,0.0,806.0,1775.0,4362.0,273.0,2.0,0.0,7.0,1821.0
2024-01-02 21:15:00+02:00,813.0,631.0,505.0,0.0,797.0,1788.0,4364.0,273.0,2.0,0.0,7.0,1820.0
2024-01-02 21:30:00+02:00,804.0,634.0,482.0,0.0,785.0,1788.0,4364.0,273.0,2.0,0.0,7.0,1759.0
2024-01-02 21:45:00+02:00,797.0,632.0,469.0,0.0,772.0,1805.0,4364.0,273.0,2.0,0.0,7.0,1723.0
2024-01-02 22:00:00+02:00,801.0,585.0,458.0,0.0,773.0,1869.0,4362.0,272.0,2.0,0.0,7.0,1682.0
2024-01-02 22:15:00+02:00,806.0,564.0,441.0,0.0,776.0,1996.0,4362.0,271.0,2.0,0.0,7.0,1668.0
2024-01-02 22:30:00+02:00,807.0,560.0,427.0,0.0,774.0,2011.0,4364.0,271.0,2.0,0.0,7.0,1642.0
2024-01-02 22:45:00+02:00,810.0,573.0,422.0,0.0,771.0,1958.0,4363.0,271.0,2.0,0.0,7.0,1621.0
2024-01-02 23:00:00+02:00,797.0,498.0,421.0,0.0,772.0,1948.0,4364.0,271.0,2.0,0.0,7.0,1568.0
2024-01-02 23:15:00+02:00,800.0,456.0,422.0,0.0,781.0,2030.0,4364.0,271.0,2.0,0.0,13.0,1488.0
2024-01-02 23:30:00+02:00,797.0,440.0,422.0,0.0,796.0,1988.0,4363.0,271.0,2.0,0.0,16.0,1419.0
2024-01-02 23:45:00+02:00,792.0,390.0,422.0,0.0,777.0,2083.0,4364.0,271.0,2.0,0.0,16.0,1362.0
2024-01-03 00:00:00+02:00,787.0,324.0,423.0,0.0,776.0,2133.0,4364.0,271.0,2.0,0.0,16.0,1359.0
2024-01-03 00:15:00+02:00,788.0,316.0,422.0,0.0,774.0,2030.0,4365.0,271.0,2.0,0.0,16.0,1356.0
2024-01-03 00:30:00+02:00,805.0,301.0,421.0,0.0,774.0,1968.0,4363.0,271.0,2.0,0.0,16.0,1351.0
2024-01-03 00:45:00+02:00,817.0,289.0,421.0,0.0,788.0,1925.0,4363.0,271.0,2.0,0.0,16.0,1387.0
2024-01-03 01:00:00+02:00,793.0,286.0,422.0,0.0,798.0,1869.0,4356.0,271.0,2.0,0.0,16.0,1465.0
2024-01-03 01:15:00+02:00,787.0,300.0,434.0,0.0,800.0,1815.0,4353.0,271.0,2.0,0.0,16.0,1501.0
2024-01-03 01:30:00+02:00,795.0,306.0,443.0,0.0,802.0,1776.0,4353.0,271.0,2.0,0.0,16.0,1504.0
2024-01-03 01:45:00+02:00,791.0,323.0,445.0,0.0,803.0,1807.0,4353.0,271.0,2.0,0.0,16.0,1511.0
2024-01-03 02:00:00+02:00,776.0,321.0,451.0,0.0,800.0,1720.0,4352.0,271.0,2.0,0.0,16.0,1529.0
2024-01-03 02:15:00+02:00,776.0,318.0,459.0,0.0,796.0,1656.0,4352.0,271.0,2.0,0.0,16.0,1609.0
2024-01-03 02:30:00+02:00,775.0,332.0,463.0,0.0,792.0,1584.0,4353.0,271.0,2.0,0.0,16.0,1692.0
2024-01-03 02:45:00+02:00,781.0,342.0,464.0,0.0,791.0,1557.0,4356.0,271.0,2.0,0.0,16.0,1730.0
2024-01-03 03:00:00+02:00,779.0,337.0,464.0,0.0,805.0,1512.0,4365.0,271.0,2.0,0.0,16.0,1792.0
2024-01-03 03:15:00+02:00,770.0,336.0,464.0,0.0,813.0,1455.0,4364.0,271.0,2.0,0.0,15.0,1860.0
2024-01-03 03:30:00+02:00,771.0,339.0,463.0,0.0,811.0,1411.0,4365.0,271.0,2.0,0.0,14.0,1889.0
2024-01-03 03:45:00+02:00,776.0,307.0,466.0,0.0,799.0,1336.0,4362.0,271.0,2.0,0.0,14.0,1916.0
2024-01-03 04:00:00+02:00,754.0,301.0,467.0,0.0,780.0,1314.0,4365.0,271.0,2.0,0.0,14.0,1916.0
2024-01-03 04:15:00+02:00,767.0,306.0,467.0,0.0,766.0,1311.0,4362.0,271.0,2.0,0.0,14.0,1919.0
2024-01-03 04:30:00+02:00,763.0,317.0,467.0,0.0,767.0,1320.0,4363.0,271.0,1.0,0.0,13.0,1928.0
