,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
2024-01-02 21:00:00+01:00,782.0,211.0,424.0,76.0,0.0,83.0,2149.0,3948.0
2024-01-02 22:00:00+01:00,666.0,208.0,391.0,73.0,0.0,79.0,2144.0,3981.0
2024-01-02 23:00:00+01:00,581.0,184.0,324.0,61.0,0.0,78.0,2098.0,3982.0
2024-01-03 00:00:00+01:00,629.0,152.0,261.0,51.0,1.0,64.0,2094.0,3944.0
2024-01-03 01:00:00+01:00,579.0,150.0,262.0,51.0,1.0,60.0,2095.0,3856.0
2024-01-03 02:00:00+01:00,562.0,159.0,273.0,53.0,1.0,61.0,2040.0,3915.0
2024-01-03 03:00:00+01:00,553.0,153.0,264.0,51.0,1.0,58.0,1953.0,3764.0
2024-01-03 04:00:00+01:00,553.0,143.0,259.0,50.0,1.0,56.0,1971.0,3517.0
2024-01-03 05:00:00+01:00,571.0,144.0,266.0,51.0,0.0,56.0,1936.0,3452.0
2024-01-03 06:00:00+01:00,611.0,141.0,290.0,51.0,0.0,62.0,1917.0,3662.0
2024-01-03 07:00:00+01:00,621.0,174.0,381.0,59.0,0.0,71.0,1915.0,3821.0
2024-01-03 08:00:00+01:00,743.0,206.0,559.0,73.0,0.0,76.0,2006.0,3788.0
2024-01-03 09:00:00+01:00,751.0,199.0,504.0,71.0,17.0,75.0,2026.0,3723.0
2024-01-03 10:00:00+01:00,780.0,204.0,504.0,71.0,70.0,73.0,2013.0,3660.0
2024-01-03 11:00:00+01:00,765.0,210.0,518.0,73.0,110.0,74.0,2027.0,3627.0
2024-01-03 12:00:00+01:00,711.0,217.0,562.0,73.0,125.0,74.0,2055.0,3593.0
2024-01-03 13:00:00+01:00,687.0,234.0,590.0,78.0,91.0,76.0,2057.0,3538.0
2024-01-03 14:00:00+01:00,683.0,237.0,594.0,79.0,49.0,77.0,2127.0,3467.0
2024-01-03 15:00:00+01:00,706.0,283.0,651.0,79.0,15.0,94.0,2118.0,3441.0
2024-01-03 16:00:00+01:00,718.0,411.0,684.0,82.0,0.0,94.0,2103.0,3438.0
2024-01-03 17:00:00+01:00,740.0,467.0,712.0,84.0,0.0,95.0,2112.0,3420.0
2024-01-03 18:00:00+01:00,719.0,465.0,721.0,82.0,0.0,97.0,2054.0,3404.0
2024-01-03 19:00:00+01:00,730.0,465.0,728.0,82.0,0.0,96.0,1998.0,3421.0
2024-01-03 20:00:00+01:00,698.0,447.0,703.0,80.0,0.0,95.0,1937.0,3357.0
2024-01-03 21:00:00+01:00,700.0,294.0,615.0,71.0,0.0,76.0,1929.0,3313.0
2024-01-03 22:00:00+01:00,742.0,254.0,580.0,65.0,0.0,70.0,1919.0,3368.0
2024-01-03 23:00:00+01:00,757.0,237.0,565.0,62.0,0.0,72.0,1908.0,3328.0
2024-01-04 00:00:00+01:00,684.0,222.0,563.0,61.0,0.0,73.0,1910.0,3348.0
2024-01-04 01:00:00+01:00,649.0,221.0,548.0,61.0,0.0,71.0,1878.0,3347.0
2024-01-04 02:00:00+01:00,633.0,227.0,403.0,61.0,0.0,71.0,1841.0,3328.0
2024-01-04 03:00:00+01:00,629.0,176.0,377.0,60.0,0.0,71.0,1850.0,3293.0
2024-01-04 04:00:00+01:00,649.0,177.0,431.0,65.0,0.0,72.0,1877.0,3256.0
2024-01-04 05:00:00+01:00,752.0,190.0,571.0,67.0,0.0,74.0,1945.0,3133.0
2024-01-04 06:00:00+01:00,782.0,356.0,652.0,76.0,0.0,95.0,2142.0,2954.0
2024-01-04 07:00:00+01:00,782.0,466.0,776.0,83.0,0.0,97.0,2160.0,2774.0
2024-01-04 08:00:00+01:00,771.0,542.0,809.0,83.0,1.0,97.0,2097.0,2518.0
2024-01-04 09:00:00+01:00,768.0,565.0,820.0,84.0,25.0,96.0,2075.0,2288.0
2024-01-04 10:00:00+01:00,797.0,575.0,822.0,83.0,85.0,96.0,1913.0,2114.0
2024-01-04 11:00:00+01:00,805.0,558.0,1035.0,78.0,129.0,94.0,1729.0,1943.0
2024-01-04 12:00:00+01:00,797.0,528.0,1039.0,77.0,164.0,93.0,1500.0,1747.0
2024-01-04 13:00:00+01:00,786.0,514.0,1156.0,74.0,161.0,92.0,1341.0,1442.0
2024-01-04 14:00:00+01:00,768.0,547.0,1140.0,75.0,121.0,90.0,1196.0,1169.0
2024-01-04 15:00:00+01:00,784.0,589.0,1152.0,78.0,41.0,92.0,1105.0,982.0
2024-01-04 16:00:00+01:00,758.0,605.0,1183.0,83.0,2.0,95.0,1021.0,811.0
2024-01-04 17:00:00+01:00,766.0,643.0,1246.0,88.0,1.0,97.0,1006.0,753.0
2024-01-04 18:00:00+01:00,790.0,633.0,1262.0,90.0,0.0,98.0,910.0,725.0
2024-01-04 19:00:00+01:00,793.0,615.0,1244.0,88.0,1.0,95.0,786.0,694.0
2024-01-04 20:00:00+01:00,793.0,626.0,1222.0,89.0,0.0,95.0,729.0,646.0
2024-01-04 21:00:00+01:00,789.0,562.0,1147.0,88.0,0.0,95.0,709.0,684.0
2024-01-04 22:00:00+01:00,791.0,560.0,1001.0,88.0,0.0,97.0,706.0,770.0
2024-01-04 23:00:00+01:00,789.0,522.0,827.0,83.0,0.0,93.0,744.0,768.0
2024-01-05 00:00:00+01:00,820.0,455.0,669.0,76.0,0.0,91.0,734.0,780.0
2024-01-05 01:00:00+01:00,850.0,432.0,594.0,71.0,0.0,89.0,868.0,819.0
2024-01-05 02:00:00+01:00,836.0,420.0,600.0,69.0,0.0,89.0,923.0,872.0
2024-01-05 03:00:00+01:00,838.0,414.0,606.0,68.0,0.0,88.0,857.0,1118.0
2024-01-05 04:00:00+01:00,833.0,420.0,606.0,69.0,0.0,89.0,993.0,1274.0
2024-01-05 05:00:00+01:00,871.0,427.0,605.0,68.0,0.0,89.0,1028.0,1375.0
2024-01-05 06:00:00+01:00,928.0,471.0,707.0,77.0,0.0,93.0,1109.0,1467.0
2024-01-05 07:00:00+01:00,944.0,524.0,732.0,78.0,1.0,93.0,1174.0,1599.0
2024-01-05 08:00:00+01:00,943.0,543.0,726.0,81.0,1.0,95.0,1240.0,1739.0
2024-01-05 09:00:00+01:00,946.0,544.0,758.0,80.0,34.0,96.0,1277.0,1857.0
2024-01-05 10:00:00+01:00,944.0,548.0,812.0,81.0,120.0,92.0,1343.0,2053.0
2024-01-05 11:00:00+01:00,946.0,617.0,868.0,88.0,204.0,99.0,1476.0,2149.0
2024-01-05 12:00:00+01:00,944.0,554.0,868.0,81.0,207.0,94.0,1519.0,2210.0
2024-01-05 13:00:00+01:00,968.0,540.0,834.0,79.0,175.0,92.0,1568.0,2259.0
2024-01-05 14:00:00+01:00,968.0,548.0,872.0,80.0,112.0,95.0,1660.0,2309.0
2024-01-05 15:00:00+01:00,984.0,561.0,960.0,82.0,38.0,96.0,1742.0,2387.0
2024-01-05 16:00:00+01:00,971.0,580.0,1116.0,85.0,1.0,97.0,1795.0,2369.0
2024-01-05 17:00:00+01:00,977.0,571.0,1170.0,85.0,0.0,101.0,1831.0,2280.0
2024-01-05 18:00:00+01:00,979.0,570.0,1237.0,84.0,0.0,102.0,1908.0,2176.0
2024-01-05 19:00:00+01:00,908.0,588.0,1139.0,87.0,0.0,103.0,1971.0,2064.0
2024-01-05 20:00:00+01:00,887.0,585.0,1112.0,90.0,1.0,102.0,1964.0,1983.0
2024-01-05 21:00:00+01:00,823.0,510.0,1056.0,86.0,1.0,96.0,1871.0,1969.0
2024-01-05 22:00:00+01:00,769.0,493.0,1036.0,84.0,1.0,95.0,1903.0,1952.0
2024-01-05 23:00:00+01:00,804.0,474.0,890.0,79.0,1.0,95.0,1903.0,1911.0
2024-01-06 00:00:00+01:00,841.0,449.0,912.0,75.0,1.0,92.0,1944.0,1844.0
2024-01-06 01:00:00+01:00,839.0,466.0,849.0,76.0,1.0,93.0,1907.0,1736.0
2024-01-06 02:00:00+01:00,842.0,455.0,853.0,76.0,1.0,93.0,1890.0,1729.0
2024-01-06 03:00:00+01:00,728.0,435.0,823.0,71.0,1.0,91.0,1842.0,1743.0
2024-01-06 04:00:00+01:00,823.0,434.0,803.0,71.0,1.0,92.0,1821.0,1697.0
2024-01-06 05:00:00+01:00,832.0,424.0,805.0,72.0,1.0,92.0,1803.0,1716.0
2024-01-06 06:00:00+01:00,828.0,427.0,812.0,73.0,1.0,93.0,1767.0,1719.0
2024-01-06 07:00:00+01:00,824.0,459.0,948.0,69.0,1.0,89.0,1789.0,1582.0
2024-01-06 08:00:00+01:00,817.0,476.0,1067.0,72.0,2.0,90.0,1769.0,1585.0
2024-01-06 09:00:00+01:00,785.0,545.0,1133.0,80.0,34.0,94.0,1776.0,1573.0
2024-01-06 10:00:00+01:00,821.0,612.0,1101.0,88.0,142.0,94.0,1723.0,1459.0
2024-01-06 11:00:00+01:00,829.0,604.0,1186.0,86.0,274.0,94.0,1643.0,1338.0
2024-01-06 12:00:00+01:00,821.0,581.0,1169.0,82.0,354.0,94.0,1630.0,1207.0
2024-01-06 13:00:00+01:00,823.0,563.0,1054.0,76.0,341.0,92.0,1608.0,1159.0
2024-01-06 14:00:00+01:00,822.0,543.0,1032.0,73.0,206.0,90.0,1555.0,1164.0
2024-01-06 15:00:00+01:00,827.0,553.0,1070.0,76.0,46.0,91.0,1558.0,1160.0
2024-01-06 16:00:00+01:00,830.0,577.0,1092.0,79.0,2.0,92.0,1473.0,1157.0
2024-01-06 17:00:00+01:00,827.0,601.0,1135.0,83.0,1.0,93.0,1511.0,1153.0
2024-01-06 18:00:00+01:00,826.0,598.0,1162.0,83.0,1.0,82.0,1478.0,1116.0
2024-01-06 19:00:00+01:00,808.0,596.0,1193.0,83.0,1.0,80.0,1484.0,1108.0
2024-01-06 20:00:00+01:00,796.0,580.0,1139.0,80.0,1.0,82.0,1407.0,1080.0
2024-01-06 21:00:00+01:00,726.0,540.0,1015.0,79.0,1.0,81.0,1380.0,1052.0
2024-01-06 22:00:00+01:00,736.0,511.0,1017.0,78.0,1.0,81.0,1313.0,1021.0
2024-01-06 23:00:00+01:00,726.0,495.0,855.0,76.0,1.0,79.0,1270.0,957.0
2024-01-07 00:00:00+01:00,782.0,434.0,813.0,67.0,1.0,77.0,1157.0,884.0
2024-01-07 01:00:00+01:00,791.0,413.0,801.0,63.0,1.0,76.0,1044.0,822.0
2024-01-07 02:00:00+01:00,799.0,402.0,809.0,61.0,1.0,75.0,994.0,726.0
2024-01-07 03:00:00+01:00,818.0,395.0,739.0,60.0,1.0,74.0,948.0,645.0
2024-01-07 04:00:00+01:00,810.0,395.0,721.0,60.0,1.0,74.0,833.0,635.0
2024-01-07 05:00:00+01:00,818.0,394.0,698.0,60.0,1.0,73.0,708.0,648.0
2024-01-07 06:00:00+01:00,823.0,400.0,741.0,60.0,1.0,74.0,631.0,635.0
2024-01-07 07:00:00+01:00,823.0,450.0,805.0,69.0,1.0,78.0,666.0,571.0
2024-01-07 08:00:00+01:00,818.0,481.0,892.0,73.0,2.0,80.0,657.0,578.0
2024-01-07 09:00:00+01:00,823.0,504.0,907.0,74.0,73.0,80.0,669.0,568.0
2024-01-07 10:00:00+01:00,825.0,528.0,939.0,74.0,257.0,80.0,735.0,527.0
2024-01-07 11:00:00+01:00,822.0,528.0,1109.0,70.0,422.0,79.0,731.0,456.0
2024-01-07 12:00:00+01:00,805.0,510.0,1095.0,68.0,441.0,79.0,661.0,473.0
2024-01-07 13:00:00+01:00,805.0,512.0,1014.0,64.0,395.0,78.0,711.0,516.0
2024-01-07 14:00:00+01:00,781.0,493.0,1070.0,65.0,210.0,78.0,1009.0,562.0
2024-01-07 15:00:00+01:00,814.0,523.0,1132.0,68.0,52.0,79.0,1139.0,549.0
2024-01-07 16:00:00+01:00,797.0,566.0,1179.0,77.0,2.0,83.0,1250.0,607.0
2024-01-07 17:00:00+01:00,806.0,584.0,1236.0,80.0,1.0,83.0,1293.0,813.0
2024-01-07 18:00:00+01:00,890.0,614.0,1295.0,83.0,1.0,84.0,1458.0,1017.0
2024-01-07 19:00:00+01:00,870.0,592.0,1146.0,82.0,1.0,84.0,1592.0,1109.0
2024-01-07 20:00:00+01:00,690.0,564.0,1097.0,75.0,1.0,81.0,1549.0,1166.0
2024-01-07 21:00:00+01:00,745.0,553.0,1106.0,74.0,1.0,81.0,1558.0,1133.0
2024-01-07 22:00:00+01:00,759.0,485.0,875.0,64.0,1.0,77.0,1527.0,1141.0
2024-01-07 23:00:00+01:00,752.0,465.0,738.0,61.0,1.0,76.0,1433.0,1231.0
2024-01-08 00:00:00+01:00,751.0,393.0,688.0,56.0,1.0,73.0,1558.0,1248.0
2024-01-08 01:00:00+01:00,753.0,381.0,681.0,54.0,1.0,74.0,1690.0,1152.0
2024-01-08 02:00:00+01:00,751.0,372.0,703.0,52.0,1.0,71.0,1568.0,999.0
2024-01-08 03:00:00+01:00,752.0,369.0,676.0,51.0,1.0,72.0,1430.0,961.0
2024-01-08 04:00:00+01:00,752.0,372.0,670.0,51.0,1.0,75.0,1368.0,938.0
2024-01-08 05:00:00+01:00,752.0,381.0,689.0,51.0,1.0,75.0,1339.0,923.0
2024-01-08 06:00:00+01:00,755.0,439.0,750.0,56.0,1.0,75.0,1266.0,925.0
2024-01-08 07:00:00+01:00,755.0,514.0,878.0,65.0,1.0,77.0,1283.0,872.0
2024-01-08 08:00:00+01:00,748.0,561.0,975.0,197.0,2.0,98.0,1305.0,785.0
2024-01-08 09:00:00+01:00,722.0,595.0,1190.0,265.0,66.0,100.0,1102.0,634.0
2024-01-08 10:00:00+01:00,685.0,611.0,1188.0,160.0,244.0,88.0,768.0,442.0
2024-01-08 11:00:00+01:00,699.0,583.0,1117.0,157.0,410.0,85.0,684.0,385.0
2024-01-08 12:00:00+01:00,688.0,522.0,1046.0,81.0,544.0,82.0,627.0,317.0
2024-01-08 13:00:00+01:00,691.0,505.0,1029.0,75.0,503.0,83.0,569.0,282.0
2024-01-08 14:00:00+01:00,691.0,524.0,1077.0,75.0,311.0,82.0,465.0,249.0
2024-01-08 15:00:00+01:00,686.0,537.0,1112.0,76.0,90.0,81.0,399.0,240.0
2024-01-08 16:00:00+01:00,730.0,534.0,1114.0,74.0,3.0,81.0,391.0,256.0
2024-01-08 17:00:00+01:00,759.0,561.0,1144.0,74.0,1.0,79.0,387.0,275.0
2024-01-08 18:00:00+01:00,741.0,562.0,1144.0,73.0,1.0,75.0,405.0,276.0
2024-01-08 19:00:00+01:00,805.0,576.0,1159.0,74.0,1.0,77.0,289.0,233.0
2024-01-08 20:00:00+01:00,822.0,567.0,1138.0,71.0,1.0,77.0,229.0,209.0
2024-01-08 21:00:00+01:00,800.0,490.0,969.0,60.0,1.0,72.0,173.0,194.0
2024-01-08 22:00:00+01:00,806.0,465.0,915.0,58.0,1.0,71.0,155.0,264.0
2024-01-08 23:00:00+01:00,807.0,463.0,797.0,58.0,1.0,72.0,158.0,335.0
2024-01-09 00:00:00+01:00,806.0,417.0,797.0,56.0,1.0,71.0,114.0,372.0
2024-01-09 01:00:00+01:00,812.0,402.0,822.0,53.0,1.0,71.0,115.0,409.0
2024-01-09 02:00:00+01:00,808.0,406.0,791.0,55.0,1.0,72.0,144.0,424.0
2024-01-09 03:00:00+01:00,833.0,416.0,755.0,58.0,1.0,73.0,144.0,408.0
2024-01-09 04:00:00+01:00,839.0,422.0,767.0,59.0,1.0,74.0,155.0,403.0
2024-01-09 05:00:00+01:00,640.0,438.0,914.0,63.0,1.0,76.0,131.0,424.0
2024-01-09 06:00:00+01:00,669.0,532.0,1002.0,75.0,1.0,81.0,125.0,439.0
2024-01-09 07:00:00+01:00,655.0,580.0,923.0,80.0,1.0,83.0,150.0,457.0
2024-01-09 08:00:00+01:00,691.0,602.0,855.0,82.0,2.0,81.0,114.0,445.0
2024-01-09 09:00:00+01:00,723.0,608.0,879.0,80.0,43.0,83.0,98.0,351.0
2024-01-09 10:00:00+01:00,721.0,611.0,819.0,80.0,130.0,84.0,109.0,325.0
2024-01-09 11:00:00+01:00,733.0,630.0,897.0,100.0,232.0,85.0,135.0,313.0
2024-01-09 12:00:00+01:00,816.0,565.0,924.0,75.0,283.0,80.0,173.0,305.0
2024-01-09 13:00:00+01:00,876.0,548.0,975.0,74.0,237.0,81.0,159.0,286.0
2024-01-09 14:00:00+01:00,897.0,544.0,1103.0,73.0,155.0,81.0,153.0,232.0
2024-01-09 15:00:00+01:00,941.0,573.0,1127.0,76.0,47.0,84.0,177.0,192.0
2024-01-09 16:00:00+01:00,945.0,578.0,1111.0,75.0,0.0,83.0,152.0,148.0
2024-01-09 17:00:00+01:00,948.0,590.0,1101.0,74.0,0.0,82.0,117.0,95.0
2024-01-09 18:00:00+01:00,952.0,596.0,1084.0,74.0,0.0,83.0,75.0,79.0
2024-01-09 19:00:00+01:00,959.0,598.0,1040.0,74.0,0.0,83.0,65.0,77.0
2024-01-09 20:00:00+01:00,944.0,583.0,1072.0,73.0,0.0,83.0,77.0,65.0
2024-01-09 21:00:00+01:00,942.0,539.0,1053.0,72.0,0.0,82.0,87.0,76.0
2024-01-09 22:00:00+01:00,920.0,504.0,999.0,70.0,0.0,89.0,86.0,74.0
2024-01-09 23:00:00+01:00,919.0,507.0,987.0,69.0,0.0,92.0,125.0,59.0
2024-01-10 00:00:00+01:00,793.0,496.0,932.0,68.0,0.0,90.0,109.0,61.0
2024-01-10 01:00:00+01:00,797.0,473.0,845.0,62.0,0.0,85.0,129.0,44.0
2024-01-10 02:00:00+01:00,809.0,472.0,815.0,63.0,0.0,77.0,154.0,39.0
2024-01-10 03:00:00+01:00,813.0,473.0,812.0,62.0,0.0,77.0,98.0,36.0
2024-01-10 04:00:00+01:00,734.0,455.0,787.0,61.0,0.0,76.0,69.0,34.0
2024-01-10 05:00:00+01:00,503.0,480.0,908.0,65.0,0.0,78.0,67.0,36.0
2024-01-10 06:00:00+01:00,498.0,534.0,1046.0,74.0,0.0,82.0,66.0,33.0
2024-01-10 07:00:00+01:00,502.0,591.0,1059.0,77.0,0.0,84.0,62.0,31.0
2024-01-10 08:00:00+01:00,500.0,629.0,1159.0,80.0,1.0,84.0,63.0,32.0
2024-01-10 09:00:00+01:00,502.0,650.0,1148.0,96.0,36.0,91.0,72.0,36.0
2024-01-10 10:00:00+01:00,495.0,607.0,1088.0,74.0,154.0,99.0,73.0,58.0
2024-01-10 11:00:00+01:00,505.0,597.0,1069.0,72.0,250.0,100.0,77.0,85.0
2024-01-10 12:00:00+01:00,526.0,585.0,1083.0,70.0,286.0,100.0,99.0,101.0
2024-01-10 13:00:00+01:00,527.0,597.0,1083.0,76.0,262.0,102.0,102.0,95.0
2024-01-10 14:00:00+01:00,531.0,608.0,1046.0,77.0,172.0,98.0,101.0,119.0
2024-01-10 15:00:00+01:00,495.0,616.0,1085.0,78.0,52.0,101.0,114.0,161.0
2024-01-10 16:00:00+01:00,562.0,624.0,1040.0,79.0,2.0,100.0,131.0,247.0
2024-01-10 17:00:00+01:00,565.0,626.0,1052.0,79.0,0.0,102.0,149.0,330.0
2024-01-10 18:00:00+01:00,531.0,626.0,1062.0,78.0,0.0,100.0,166.0,401.0
2024-01-10 19:00:00+01:00,517.0,622.0,1046.0,78.0,0.0,99.0,182.0,500.0
2024-01-10 20:00:00+01:00,520.0,615.0,1032.0,76.0,0.0,98.0,227.0,554.0
2024-01-10 21:00:00+01:00,527.0,572.0,960.0,73.0,0.0,95.0,273.0,634.0
2024-01-10 22:00:00+01:00,527.0,532.0,937.0,69.0,0.0,95.0,272.0,740.0
2024-01-10 23:00:00+01:00,525.0,510.0,831.0,65.0,0.0,95.0,300.0,766.0
2024-01-11 00:00:00+01:00,525.0,480.0,873.0,63.0,0.0,94.0,491.0,706.0
2024-01-11 01:00:00+01:00,526.0,458.0,748.0,61.0,0.0,94.0,689.0,661.0
2024-01-11 02:00:00+01:00,528.0,428.0,711.0,61.0,0.0,92.0,791.0,610.0
2024-01-11 03:00:00+01:00,527.0,443.0,682.0,61.0,0.0,93.0,918.0,550.0
2024-01-11 04:00:00+01:00,526.0,432.0,685.0,61.0,0.0,92.0,938.0,433.0
2024-01-11 05:00:00+01:00,526.0,416.0,740.0,51.0,0.0,92.0,826.0,305.0
2024-01-11 06:00:00+01:00,527.0,507.0,1010.0,59.0,0.0,96.0,750.0,277.0
2024-01-11 07:00:00+01:00,531.0,592.0,1111.0,66.0,0.0,98.0,657.0,248.0
2024-01-11 08:00:00+01:00,543.0,589.0,1038.0,63.0,1.0,97.0,634.0,199.0
2024-01-11 09:00:00+01:00,527.0,554.0,962.0,64.0,74.0,94.0,594.0,168.0
2024-01-11 10:00:00+01:00,528.0,519.0,914.0,66.0,261.0,91.0,619.0,196.0
2024-01-11 11:00:00+01:00,526.0,509.0,909.0,66.0,452.0,92.0,609.0,208.0
2024-01-11 12:00:00+01:00,526.0,510.0,908.0,65.0,527.0,96.0,562.0,227.0
2024-01-11 13:00:00+01:00,531.0,490.0,876.0,66.0,502.0,92.0,578.0,262.0
2024-01-11 14:00:00+01:00,546.0,539.0,946.0,75.0,344.0,95.0,729.0,311.0
2024-01-11 15:00:00+01:00,554.0,562.0,1040.0,82.0,122.0,98.0,903.0,339.0
2024-01-11 16:00:00+01:00,524.0,548.0,1095.0,83.0,4.0,102.0,831.0,331.0
2024-01-11 17:00:00+01:00,525.0,540.0,1075.0,84.0,0.0,101.0,593.0,325.0
2024-01-11 18:00:00+01:00,535.0,560.0,1099.0,84.0,0.0,97.0,394.0,311.0
2024-01-11 19:00:00+01:00,540.0,560.0,1074.0,83.0,0.0,97.0,259.0,266.0
2024-01-11 20:00:00+01:00,537.0,537.0,1048.0,81.0,0.0,97.0,143.0,182.0
2024-01-11 21:00:00+01:00,535.0,498.0,1052.0,81.0,0.0,97.0,71.0,108.0
2024-01-11 22:00:00+01:00,538.0,462.0,1054.0,79.0,0.0,97.0,55.0,104.0
2024-01-11 23:00:00+01:00,543.0,435.0,982.0,77.0,0.0,96.0,108.0,125.0
2024-01-12 00:00:00+01:00,529.0,395.0,917.0,75.0,0.0,95.0,191.0,224.0
2024-01-12 01:00:00+01:00,527.0,386.0,838.0,74.0,0.0,96.0,223.0,411.0
2024-01-12 02:00:00+01:00,530.0,497.0,804.0,87.0,0.0,99.0,411.0,544.0
2024-01-12 03:00:00+01:00,531.0,404.0,750.0,70.0,0.0,94.0,626.0,517.0
2024-01-12 04:00:00+01:00,535.0,426.0,782.0,77.0,0.0,96.0,890.0,526.0
2024-01-12 05:00:00+01:00,532.0,422.0,827.0,78.0,0.0,95.0,923.0,555.0
2024-01-12 06:00:00+01:00,536.0,441.0,961.0,79.0,0.0,96.0,980.0,473.0
2024-01-12 07:00:00+01:00,546.0,539.0,1079.0,91.0,0.0,102.0,1016.0,557.0
2024-01-12 08:00:00+01:00,533.0,521.0,1115.0,91.0,4.0,100.0,992.0,550.0
2024-01-12 09:00:00+01:00,522.0,522.0,1082.0,89.0,94.0,103.0,1062.0,550.0
2024-01-12 10:00:00+01:00,531.0,519.0,1136.0,90.0,314.0,98.0,1035.0,498.0
2024-01-12 11:00:00+01:00,504.0,512.0,1025.0,88.0,486.0,97.0,1074.0,481.0
