,AL,BG,TR,IT,MK,sum
2024-01-06 08:00:00+00:00,0.0,0.0,70.0,0.0,0.0,70.0
2024-01-06 09:00:00+00:00,0.0,0.0,37.0,0.0,0.0,37.0
2024-01-06 10:00:00+00:00,0.0,0.0,23.0,0.0,0.0,23.0
2024-01-06 11:00:00+00:00,0.0,0.0,19.0,0.0,0.0,19.0
2024-01-06 12:00:00+00:00,0.0,0.0,11.0,0.0,0.0,11.0
2024-01-06 13:00:00+00:00,0.0,0.0,7.0,0.0,0.0,7.0
2024-01-06 14:00:00+00:00,0.0,0.0,12.0,0.0,0.0,12.0
2024-01-06 15:00:00+00:00,0.0,0.0,5.0,0.0,0.0,5.0
2024-01-06 16:00:00+00:00,0.0,0.0,3.0,0.0,0.0,3.0
2024-01-06 17:00:00+00:00,0.0,0.0,1.0,0.0,0.0,1.0
2024-01-06 18:00:00+00:00,0.0,0.0,1.0,0.0,0.0,1.0
2024-01-06 19:00:00+00:00,0.0,0.0,5.0,0.0,0.0,5.0
2024-01-06 20:00:00+00:00,0.0,0.0,9.0,0.0,0.0,9.0
2024-01-06 21:00:00+00:00,0.0,43.0,51.0,0.0,1.0,95.0
2024-01-06 22:00:00+00:00,0.0,36.0,62.0,0.0,0.0,98.0
2024-01-06 23:00:00+00:00,0.0,169.0,88.0,0.0,16.0,273.0
2024-01-07 00:00:00+00:00,0.0,189.0,87.0,0.0,70.0,346.0
2024-01-07 01:00:00+00:00,0.0,143.0,83.0,0.0,17.0,243.0
2024-01-07 02:00:00+00:00,0.0,127.0,80.0,0.0,25.0,232.0
2024-01-07 03:00:00+00:00,0.0,144.0,83.0,0.0,47.0,274.0
2024-01-07 04:00:00+00:00,0.0,194.0,108.0,0.0,137.0,439.0
2024-01-07 05:00:00+00:00,0.0,211.0,104.0,0.0,185.0,500.0
2024-01-07 06:00:00+00:00,0.0,210.0,110.0,0.0,156.0,476.0
2024-01-07 07:00:00+00:00,0.0,218.0,95.0,0.0,156.0,469.0
2024-01-07 08:00:00+00:00,0.0,153.0,82.0,0.0,89.0,324.0
2024-01-07 09:00:00+00:00,0.0,215.0,88.0,0.0,111.0,414.0
2024-01-07 10:00:00+00:00,2.0,235.0,103.0,0.0,112.0,452.0
2024-01-07 11:00:00+00:00,0.0,169.0,103.0,0.0,37.0,309.0
2024-01-07 12:00:00+00:00,0.0,92.0,70.0,0.0,25.0,187.0
2024-01-07 13:00:00+00:00,13.0,134.0,80.0,0.0,163.0,390.0
2024-01-07 14:00:00+00:00,0.0,1.0,31.0,0.0,0.0,32.0
2024-01-07 15:00:00+00:00,0.0,0.0,3.0,120.0,0.0,123.0
2024-01-07 16:00:00+00:00,0.0,0.0,3.0,0.0,0.0,3.0
2024-01-07 17:00:00+00:00,0.0,0.0,2.0,0.0,0.0,2.0
2024-01-07 18:00:00+00:00,0.0,0.0,6.0,0.0,0.0,6.0
2024-01-07 19:00:00+00:00,0.0,0.0,13.0,0.0,0.0,13.0
2024-01-07 20:00:00+00:00,0.0,0.0,34.0,0.0,0.0,34.0
2024-01-07 21:00:00+00:00,0.0,55.0,59.0,0.0,0.0,114.0
2024-01-07 22:00:00+00:00,0.0,174.0,96.0,0.0,1.0,271.0
2024-01-07 23:00:00+00:00,0.0,120.0,106.0,0.0,0.0,226.0
2024-01-08 00:00:00+00:00,0.0,293.0,163.0,0.0,103.0,559.0
2024-01-08 01:00:00+00:00,0.0,310.0,174.0,0.0,112.0,596.0
2024-01-08 02:00:00+00:00,10.0,356.0,183.0,0.0,183.0,732.0
2024-01-08 03:00:00+00:00,50.0,361.0,178.0,0.0,238.0,827.0
2024-01-08 04:00:00+00:00,148.0,351.0,182.0,0.0,323.0,1004.0
2024-01-08 05:00:00+00:00,107.0,229.0,161.0,0.0,270.0,767.0
2024-01-08 06:00:00+00:00,0.0,8.0,74.0,0.0,13.0,95.0
2024-01-08 07:00:00+00:00,0.0,0.0,18.0,0.0,0.0,18.0
2024-01-08 08:00:00+00:00,0.0,0.0,15.0,0.0,0.0,15.0
2024-01-08 09:00:00+00:00,0.0,0.0,29.0,0.0,0.0,29.0
