,EE,LT,RU,sum
2022-01-17 23:00:00+00:00,189.0,318.0,11.0,518.0
2022-01-18 00:00:00+00:00,200.0,304.0,16.0,520.0
2022-01-18 01:00:00+00:00,192.0,324.0,7.0,523.0
2022-01-18 02:00:00+00:00,195.0,322.0,1.0,518.0
2022-01-18 03:00:00+00:00,231.0,295.0,22.0,548.0
2022-01-18 04:00:00+00:00,23.0,452.0,0.0,475.0
2022-01-18 05:00:00+00:00,143.0,0.0,27.0,170.0
2022-01-18 06:00:00+00:00,45.0,0.0,0.0,45.0
2022-01-18 07:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-18 08:00:00+00:00,16.0,0.0,0.0,16.0
2022-01-18 09:00:00+00:00,160.0,0.0,11.0,171.0
2022-01-18 10:00:00+00:00,138.0,0.0,10.0,148.0
2022-01-18 11:00:00+00:00,114.0,0.0,12.0,126.0
2022-01-18 12:00:00+00:00,135.0,0.0,17.0,152.0
2022-01-18 13:00:00+00:00,111.0,0.0,22.0,133.0
2022-01-18 14:00:00+00:00,99.0,0.0,18.0,117.0
