DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DE,2000,8.09,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DE,2001,7.14,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DE,2002,5.58,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DE,2003,9.27,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DE,2004,8.79,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DE,2005,8.04,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DE,2006,7.67,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DE,2007,6.42,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DE,2008,7.08,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DE,2009,6.81,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DE,2010,6.49,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DE,2011,7.39,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DE,2012,5.18,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DE,2013,5.48,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DE,2014,5.32,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DE,2015,4.88,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DE,2016,6.17,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DE,2017,4.78,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DE,2018,5.71,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DE,2019,2.57,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DK,2000,2.87,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DK,2001,3.76,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DK,2002,2.04,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DK,2003,3.30,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DK,2004,2.58,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DK,2005,2.78,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DK,2006,2.69,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DK,2007,2.20,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DK,2008,3.57,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DK,2009,4.56,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DK,2010,5.11,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DK,2011,3.99,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DK,2012,4.88,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DK,2013,7.52,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DK,2014,6.02,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DK,2015,5.39,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DK,2016,6.05,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DK,2017,5.45,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DK,2018,4.40,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,DK,2019,2.72,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EE,2000,8.98,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EE,2001,7.96,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EE,2002,18.05,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EE,2003,7.58,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EE,2004,23.65,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EE,2005,12.10,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EE,2006,27.59,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EE,2007,17.10,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EE,2008,17.97,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EE,2009,9.06,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EE,2010,5.70,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EE,2011,21.22,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EE,2012,2.44,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EE,2013,2.60,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EE,2014,3.41,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EE,2015,4.03,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EE,2016,2.61,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EE,2017,6.35,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EE,2018,8.47,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EE,2019,5.44,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EL,2000,14.90,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EL,2001,22.52,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EL,2002,15.62,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EL,2003,12.76,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EL,2004,16.32,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EL,2005,12.72,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EL,2006,13.22,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EL,2007,19.86,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EL,2008,20.19,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EL,2009,10.92,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EL,2010,8.81,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EL,2011,14.11,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EL,2012,12.82,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EL,2013,11.49,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EL,2014,10.39,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EL,2015,10.28,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EL,2016,14.75,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EL,2017,19.59,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EL,2018,11.81,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EL,2019,13.27,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,ES,2000,10.11,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,ES,2001,6.56,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,ES,2002,12.25,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,ES,2003,7.47,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,ES,2004,11.44,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,ES,2005,19.71,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,ES,2006,10.00,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,ES,2007,12.06,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,ES,2008,12.56,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,ES,2009,12.56,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,ES,2010,5.84,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,ES,2011,10.43,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,ES,2012,16.02,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,ES,2013,6.30,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,ES,2014,7.02,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,ES,2015,11.44,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,ES,2016,6.59,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,ES,2017,13.51,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,ES,2018,6.66,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,ES,2019,8.10,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EU27_2020,2000,5.02,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,EU27_2020,2001,4.64,
