,DE,AT,SE,FR,IT,PL,ES,NL,BE,IE
2022-03-03,0.0,0.0,46653483744.0,629401445760.0,78808185344.0,5767910656.0,901842068992.0,0.0,0.0,43871884448.0
2022-03-04,0.0,0.0,3395084688.0,144267010267.05457,52770017344.0,0.0,5298900608.0,0.0,0.0,1106360432.0
2022-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-06,0.0,0.0,68733117544.0,53230373504.0,5671753472.0,0.0,24220196864.0,0.0,0.0,31794980272.0
2022-03-07,0.0,0.0,739180054956.0,0.0,0.0,0.0,347246917888.0,0.0,0.0,75540621400.0
2022-03-08,0.0,0.0,480354232512.0,291948382163.1522,6815309824.0,2347579064.0,286292753750.5752,0.0,0.0,156805430320.0
2022-03-09,0.0,1783944832.0,0.0,478835920768.0,0.0,505710781120.0,1939659888640.0,0.0,0.0,1020455202816.0
2022-03-10,0.0,0.0,230605875536.0,147958804992.0,0.0,102867792.0,302730434109.0,0.0,0.0,740807012320.0
2022-03-11,0.0,0.0,655888506520.0,1625367908416.0,0.0,3456844672.0,1174339393145.0,0.0,0.0,907895722752.0
2022-03-12,115169894304.0,0.0,125634784.0,1646519103008.0,23678952047.5,16123155968.0,1589960855248.0,125310798576.0,41655526400.0,429440950368.0
2022-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14,387279279008.0,16089530112.0,71771128192.0,528304336768.0,879341568.0,0.0,1279692678950.0,192278925824.0,26162558720.0,5772239328.0
2022-03-15,756290618134.9653,379838991104.0,16452160288.0,1793867920320.0,778482341472.0,1999565100.368496,2818178757524.0,14213870976.0,38320860928.0,753961471488.0
2022-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,2265886045824.0,358190635776.0,1149371476600.0,3985785261152.0,860468185076.0,156173099952.0,9240351953424.0,146072401408.0,187185788928.0,87141704336.0
2022-03-18,235340486144.0,96013140736.0,693391308368.0,2128383316864.0,844140113788.5,554539679808.0,3303876224784.0,0.0,0.0,63842868672.0
2022-03-19,0.0,0.0,309141118304.0,709419745364.6948,848859387056.0,0.0,1356716908504.0,0.0,0.0,3015511328.0
2022-03-20,0.0,0.0,9980095712.0,130935556864.0,650796856641.0,0.0,413542016377.31384,0.0,0.0,35252223616.0
2022-03-21,5156137344.0,0.0,1429812032.0,22862772224.0,0.0,0.0,77748009944.0,7808448640.0,0.0,106603523144.0
2022-03-22,0.0,0.0,0.0,7279489536.0,0.0,0.0,143996054706.5,0.0,0.0,36667520208.0
2022-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24,0.0,0.0,224506985216.0,0.0,0.0,0.0,788096165196.0,0.0,0.0,34066981136.0
2022-03-25,0.0,0.0,772290433048.0,55343961856.0,41572296628.0,4490160032.0,1445354634496.0,0.0,0.0,4078181016.0
2022-03-26,680611520.0,0.0,107913657472.0,141918228096.0,181075306344.0,343084461408.0,2743036439048.0,13316828608.0,0.0,8230282688.0
2022-03-27,510458528.0,0.0,1427742102448.0,353915568384.0,178731498761.5,251319857728.0,209984953992.0,0.0,0.0,241452768.0
2022-03-28,0.0,0.0,159251007168.0,370980835456.0,537684355712.0,43047522816.0,345544244102.0,793680832.0,0.0,9220324000.0
2022-03-29,275917454448.0,26488762880.0,28788325750.039215,1511489406720.0,299206336984.0,243853760288.0,815396356236.0,46435702656.0,42004159488.0,1128340452.0
2022-03-30,462183410432.0,759123218432.0,52645400192.0,1033457148224.0,3539389115136.0,604990124256.0,71785816207.0,62817103792.0,19481091520.0,47743168844.0
2022-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-07,0.0,0.0,0.0,0.0,0.0,57920185472.0,0.0,0.0,0.0,0.0
2022-04-08,3201612872320.0,646686221312.0,2134757775424.0,3517426287232.0,251585278809.3172,442281688256.0,1545446709284.0,86959628384.0,211292904192.0,101717219024.0
2022-04-09,333863334400.0,887120934912.0,809336822496.0,431395572736.0,1168238707104.0,1409614020992.0,880202331291.4155,162285088.0,0.0,3056481132.0
2022-04-10,5435923840.0,0.0,1194386628192.0,324398493504.0,45534790690.0,0.0,482863204544.0,1971039792.0,0.0,637002725376.0
2022-04-11,214891759640.4505,0.0,454019315072.0,574790099200.0,13645730816.0,27866945664.0,1833902247272.0,103435031936.0,69659309056.0,589426396672.0
2022-04-12,850904344768.0,0.0,208480457712.0,2413538346496.0,3761616640.0,0.0,3049067640512.0,442042529792.0,108585010176.0,178696612192.0
2022-04-13,1227727576576.0,0.0,2896329908096.0,2191097205664.0,107194994726.625,684345234048.0,2629108528176.0,295777541120.0,231955456000.0,17828701822.0
2022-04-14,2468265004416.0,3965202176.0,2310354603776.0,616759694656.0,96996025598.0,1063675852992.0,780921719456.0,44478998464.0,92985925248.0,666145534464.0
2022-04-15,73398990144.0,103425242624.0,140897686432.0,75291771904.0,552282826272.0,1319375873024.0,213329722976.0,0.0,4705475456.0,51649613584.0
2022-04-16,6899743232.0,2643468032.0,1071342477728.0,0.0,841901016006.625,12726617344.0,22983161280.0,5330673984.0,4527412736.0,204707705992.0
